land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket,crime_rate_index,room_size,property_value
203 sqm,185 sqm,4,5,Yes,Yes,Yes,Yes,4.1km,Yes,21 Years,No,0.7 km,3.24,medium,188605
186 sqm,170 sqm,2,1,Yes,Yes,No,No,0.4km,No,7 Years,No,5.7 km,4.29,medium,147111
205 sqm,202 sqm,3,2,No,No,No,Yes,5.2km,No,13 Years,No,1.5 km,5.23,large,157333
191 sqm,176 sqm,4,5,Yes,Yes,Yes,Yes,2.7km,No,9 Years,No,6.2 km,2.42,large,168840
230 sqm,199 sqm,4,5,Yes,Yes,No,Yes,4.7km,Yes,7 Years,No,3.5 km,2.98,medium,198012
200 sqm,180 sqm,3,2,Yes,Yes,Yes,No,1.7km,No,15 Years,No,6.5 km,5.60,medium,147480
161 sqm,137 sqm,3,1,No,Yes,Yes,No,6.5km,No,13 Years,No,1.5 km,4.75,large,122470
256 sqm,218 sqm,4,3,Yes,Yes,Yes,Yes,0.1km,No,16 Years,No,0.8 km,1.61,large,235458
250 sqm,239 sqm,5,3,Yes,Yes,Yes,Yes,6.7km,Yes,20 Years,Yes,6.4 km,4.52,medium,239595
330 sqm,329 sqm,5,2,Yes,Yes,Yes,Yes,4.9km,Yes,14 Years,No,5.4 km,1.67,large,280836
284 sqm,263 sqm,4,2,Yes,Yes,No,Yes,0.9km,Yes,7 Years,No,2.8 km,1.80,large,261532
346 sqm,343 sqm,6,5,Yes,Yes,Yes,Yes,2.1km,Yes,21 Years,No,3.2 km,1.62,extra_large,280232
127 sqm,122 sqm,1,1,Yes,No,No,No,1.3km,No,16 Years,No,2.1 km,0.42,medium,99751
214 sqm,212 sqm,3,3,No,No,Yes,No,0.6km,Yes,17 Years,No,5.2 km,5.37,medium,157849
153 sqm,143 sqm,2,3,No,No,No,Yes,1.3km,No,20 Years,No,3.4 km,5.42,small,117127
153 sqm,150 sqm,3,3,Yes,No,Yes,No,3.4km,Yes,18 Years,No,5.3 km,5.36,medium,115231
200 sqm,178 sqm,3,2,Yes,Yes,No,Yes,5.5km,No,18 Years,No,5.7 km,5.62,medium,143403
106 sqm,100 sqm,1,1,No,Yes,No,No,2.8km,Yes,19 Years,No,3.9 km,5.68,small,77829
213 sqm,201 sqm,4,5,Yes,Yes,Yes,Yes,6.8km,No,19 Years,No,0.2 km,0.49,medium,175500
191 sqm,186 sqm,4,5,Yes,No,Yes,Yes,3.2km,No,9 Years,No,0.5 km,2.14,medium,159816
282 sqm,243 sqm,5,3,Yes,Yes,Yes,Yes,5.5km,Yes,22 Years,No,0.1 km,5.16,medium,244624
237 sqm,217 sqm,3,2,No,Yes,No,No,3.4km,No,17 Years,No,0.9 km,2.37,large,170526
287 sqm,279 sqm,4,5,Yes,Yes,Yes,Yes,0.5km,No,12 Years,No,3.2 km,5.05,large,226183
119 sqm,106 sqm,1,2,No,No,No,No,5.5km,Yes,5 Years,No,5.1 km,1.20,medium,88061
276 sqm,276 sqm,5,4,No,Yes,Yes,Yes,4.1km,Yes,5 Years,No,2.6 km,3.90,medium,231150
110 sqm,99 sqm,1,2,Yes,Yes,Yes,No,4.5km,No,8 Years,No,5.5 km,5.11,large,89115
527 sqm,525 sqm,7,5,Yes,Yes,Yes,Yes,3.3km,Yes,19 Years,No,4.8 km,2.97,large,427510
153 sqm,144 sqm,3,3,Yes,Yes,Yes,No,6.2km,Yes,15 Years,No,0.5 km,4.65,large,129197
197 sqm,182 sqm,4,2,Yes,Yes,No,Yes,3.1km,Yes,1 Years,No,3.2 km,4.38,medium,178444
274 sqm,270 sqm,4,3,Yes,No,Yes,Yes,5.7km,No,2 Years,No,3.1 km,0.18,medium,208888
156 sqm,144 sqm,2,2,No,No,No,Yes,5.1km,No,8 Years,No,6.3 km,3.17,large,118506
143 sqm,142 sqm,2,2,Yes,No,No,No,1.3km,No,21 Years,No,0.3 km,0.94,small,113519
207 sqm,201 sqm,4,3,No,Yes,No,Yes,3.2km,Yes,12 Years,No,1.1 km,0.48,medium,192900
262 sqm,256 sqm,5,5,Yes,Yes,Yes,Yes,3.3km,Yes,8 Years,No,0.6 km,2.63,medium,231731
267 sqm,247 sqm,4,4,Yes,Yes,Yes,Yes,0.9km,Yes,2 Years,No,5.1 km,5.50,medium,235889
143 sqm,123 sqm,1,2,No,Yes,No,No,3.6km,No,2 Years,No,0.4 km,1.65,small,117190
276 sqm,261 sqm,5,5,Yes,Yes,Yes,Yes,4.5km,Yes,16 Years,No,3.8 km,5.97,large,229830
233 sqm,204 sqm,3,4,No,Yes,No,No,0.1km,No,14 Years,No,6.7 km,1.99,large,174365
282 sqm,281 sqm,5,5,Yes,Yes,Yes,Yes,0.9km,Yes,8 Years,No,6.3 km,4.61,large,254536
302 sqm,269 sqm,5,5,Yes,Yes,Yes,Yes,6.9km,Yes,20 Years,No,2.3 km,3.52,large,261409
456 sqm,424 sqm,6,5,Yes,Yes,Yes,Yes,4.7km,Yes,4 Years,No,5.7 km,0.42,extra_large,389654
130 sqm,114 sqm,1,2,No,Yes,No,No,0.7km,No,10 Years,No,3.5 km,1.81,small,105471
183 sqm,170 sqm,2,3,No,Yes,Yes,No,4.8km,No,15 Years,No,4.1 km,0.12,large,145231
270 sqm,265 sqm,5,3,Yes,Yes,Yes,Yes,1.8km,No,4 Years,No,5.3 km,5.40,large,214657
148 sqm,133 sqm,1,2,No,Yes,No,No,1.4km,No,20 Years,No,3.8 km,3.17,medium,110786
144 sqm,126 sqm,2,1,No,Yes,No,No,6.3km,No,17 Years,No,6.3 km,1.40,small,91769
270 sqm,232 sqm,5,3,Yes,Yes,Yes,Yes,6.9km,Yes,11 Years,No,3.1 km,4.69,large,236057
201 sqm,177 sqm,3,4,Yes,Yes,No,No,5.3km,No,10 Years,No,2.8 km,1.21,medium,140992
254 sqm,234 sqm,5,3,Yes,Yes,Yes,Yes,3.6km,Yes,11 Years,No,2.7 km,3.72,large,225101
293 sqm,265 sqm,5,4,Yes,Yes,Yes,Yes,3.1km,Yes,20 Years,No,2.6 km,3.72,medium,253492
259 sqm,243 sqm,4,3,Yes,Yes,Yes,Yes,6.8km,Yes,1 Years,No,5.6 km,5.89,large,221293
309 sqm,282 sqm,5,4,Yes,Yes,Yes,Yes,3.7km,Yes,11 Years,No,6.7 km,0.69,large,272968
236 sqm,202 sqm,3,2,No,No,No,No,1.8km,Yes,6 Years,No,2.1 km,3.20,medium,179155
251 sqm,218 sqm,5,4,Yes,Yes,Yes,Yes,6.9km,Yes,2 Years,No,2.2 km,1.84,medium,238501
270 sqm,264 sqm,5,3,Yes,Yes,No,Yes,3.2km,No,3 Years,No,4.3 km,5.84,large,208018
228 sqm,227 sqm,3,3,Yes,No,No,No,2.5km,No,9 Years,Yes,1.8 km,2.99,large,189498
222 sqm,211 sqm,4,4,Yes,Yes,Yes,Yes,5.3km,No,18 Years,No,2.2 km,1.21,large,185210
257 sqm,256 sqm,4,5,No,Yes,Yes,Yes,1.3km,Yes,3 Years,No,4.8 km,3.07,medium,222934
352 sqm,321 sqm,5,5,Yes,Yes,Yes,Yes,6.3km,No,7 Years,No,4.7 km,3.58,large,272577
283 sqm,283 sqm,4,2,Yes,Yes,Yes,Yes,5.1km,Yes,4 Years,No,4.2 km,3.75,medium,240156
310 sqm,293 sqm,4,3,Yes,Yes,No,Yes,5.7km,Yes,2 Years,No,5.5 km,3.57,large,262886
465 sqm,429 sqm,6,4,No,Yes,Yes,Yes,4.3km,No,5 Years,No,5.9 km,4.95,extra_large,339214
156 sqm,155 sqm,2,2,Yes,No,Yes,No,5.2km,No,21 Years,No,3.3 km,1.79,medium,103834
267 sqm,257 sqm,4,5,No,Yes,Yes,Yes,3.1km,No,9 Years,No,3.4 km,4.51,medium,198016
298 sqm,259 sqm,4,2,Yes,Yes,Yes,Yes,1.8km,Yes,4 Years,No,5.1 km,2.03,medium,277649
307 sqm,291 sqm,6,6,Yes,Yes,Yes,Yes,4.1km,Yes,8 Years,No,6.5 km,2.98,large,272120
331 sqm,320 sqm,5,2,Yes,Yes,Yes,Yes,6.4km,Yes,11 Years,No,1.5 km,4.07,medium,271306
284 sqm,254 sqm,5,2,Yes,Yes,Yes,Yes,5.2km,Yes,21 Years,No,0.5 km,0.79,large,254019
160 sqm,157 sqm,2,2,No,No,Yes,No,3.6km,No,6 Years,No,2.7 km,4.42,medium,110604
303 sqm,262 sqm,4,5,Yes,Yes,Yes,Yes,5.4km,Yes,14 Years,Yes,4.9 km,2.98,large,302493
312 sqm,308 sqm,5,2,Yes,No,Yes,Yes,2.1km,Yes,19 Years,Yes,2.5 km,0.70,medium,294131
240 sqm,209 sqm,5,4,No,Yes,Yes,Yes,3.9km,No,11 Years,No,4.8 km,5.79,large,192655
164 sqm,156 sqm,2,1,No,Yes,Yes,No,6.6km,No,3 Years,No,1.1 km,4.23,small,116631
620 sqm,539 sqm,8,7,Yes,Yes,Yes,Yes,0.5km,Yes,14 Years,No,5.6 km,0.24,large,523059
135 sqm,125 sqm,1,2,No,No,No,No,6.3km,No,22 Years,No,5.2 km,2.67,small,79061
196 sqm,194 sqm,4,5,Yes,No,Yes,Yes,2.8km,No,9 Years,No,4.5 km,1.16,medium,163432
305 sqm,281 sqm,5,4,Yes,Yes,No,Yes,1.8km,Yes,5 Years,No,5.2 km,4.87,large,265640
188 sqm,173 sqm,2,1,Yes,Yes,No,No,1.3km,No,10 Years,No,2.9 km,5.95,small,132721
307 sqm,270 sqm,5,3,No,Yes,No,Yes,5.9km,Yes,15 Years,No,4.1 km,2.78,large,245209
191 sqm,190 sqm,3,3,Yes,No,No,No,2.9km,No,21 Years,No,6.2 km,2.51,medium,129645
305 sqm,304 sqm,5,5,Yes,No,Yes,Yes,4.5km,Yes,16 Years,No,0.9 km,1.21,large,266864
438 sqm,383 sqm,7,8,Yes,Yes,Yes,Yes,5.9km,Yes,10 Years,No,4.4 km,3.37,large,373535
140 sqm,121 sqm,2,3,No,Yes,Yes,No,0.5km,No,7 Years,No,5.3 km,0.10,medium,129191
151 sqm,139 sqm,2,3,No,No,No,No,4.4km,Yes,7 Years,Yes,5.4 km,0.26,large,136169
173 sqm,157 sqm,3,3,Yes,Yes,Yes,No,1.2km,Yes,5 Years,No,2.4 km,4.54,medium,150171
259 sqm,243 sqm,5,3,Yes,Yes,Yes,Yes,0.5km,Yes,19 Years,No,1.2 km,0.64,medium,241464
589 sqm,568 sqm,7,8,Yes,Yes,Yes,Yes,0.1km,Yes,10 Years,No,5.5 km,4.72,large,502043
226 sqm,204 sqm,3,3,Yes,Yes,No,Yes,6.6km,No,21 Years,No,1.1 km,0.29,large,184749
489 sqm,467 sqm,7,5,Yes,Yes,Yes,Yes,1.3km,Yes,1 Years,No,0.1 km,3.99,extra_large,397952
231 sqm,206 sqm,5,2,Yes,Yes,No,Yes,2.2km,Yes,4 Years,No,2.8 km,2.93,medium,206803
292 sqm,253 sqm,4,2,Yes,Yes,Yes,Yes,5.1km,Yes,18 Years,No,1.7 km,0.47,medium,256927
318 sqm,318 sqm,5,4,Yes,No,Yes,Yes,0.7km,Yes,5 Years,Yes,5.6 km,4.47,medium,305962
236 sqm,205 sqm,5,5,Yes,Yes,Yes,Yes,5.6km,Yes,13 Years,No,6.9 km,0.66,large,217339
584 sqm,568 sqm,7,4,Yes,Yes,Yes,Yes,4.1km,Yes,21 Years,Yes,1.7 km,3.26,extra_large,493472
211 sqm,180 sqm,3,2,Yes,Yes,No,Yes,3.7km,Yes,2 Years,No,1.2 km,4.34,medium,182774
126 sqm,111 sqm,2,1,Yes,Yes,Yes,No,1.7km,No,6 Years,No,2.4 km,1.59,large,120516
410 sqm,400 sqm,6,4,Yes,Yes,Yes,Yes,0.3km,Yes,12 Years,No,5.7 km,2.55,medium,343501
203 sqm,179 sqm,3,1,Yes,Yes,No,No,1.1km,Yes,20 Years,No,3.6 km,0.37,medium,168024
192 sqm,164 sqm,4,3,Yes,Yes,Yes,Yes,0.4km,Yes,4 Years,No,0.8 km,5.27,large,199132
158 sqm,140 sqm,2,1,No,No,No,No,6.7km,No,21 Years,No,4.4 km,1.18,large,100781
224 sqm,219 sqm,4,4,Yes,No,Yes,Yes,1.9km,Yes,16 Years,No,1.5 km,5.41,medium,197605
214 sqm,199 sqm,3,2,Yes,No,No,No,2.2km,Yes,16 Years,No,6.7 km,0.12,large,169288
209 sqm,187 sqm,3,4,Yes,Yes,Yes,No,1.7km,No,1 Years,No,3.9 km,3.84,medium,172435
151 sqm,129 sqm,3,4,Yes,No,No,Yes,4.4km,No,19 Years,No,1.8 km,3.08,medium,124037
329 sqm,286 sqm,5,2,Yes,Yes,Yes,Yes,2.5km,Yes,11 Years,No,5.6 km,2.90,large,295385
236 sqm,206 sqm,4,5,Yes,Yes,Yes,Yes,1.6km,Yes,15 Years,No,3.3 km,2.94,medium,212898
324 sqm,308 sqm,5,3,Yes,Yes,Yes,Yes,4.5km,Yes,19 Years,No,0.2 km,2.70,medium,278790
163 sqm,156 sqm,2,2,Yes,Yes,Yes,No,6.1km,No,3 Years,No,3.5 km,3.14,large,124120
202 sqm,196 sqm,3,1,Yes,No,Yes,No,5.4km,No,22 Years,No,5.4 km,2.98,large,132079
139 sqm,138 sqm,1,1,No,No,Yes,No,6.7km,No,11 Years,No,2.1 km,4.22,large,85699
133 sqm,118 sqm,2,1,Yes,No,Yes,No,2.3km,No,19 Years,No,1.6 km,4.40,large,99434
319 sqm,316 sqm,5,4,Yes,Yes,Yes,Yes,2.9km,Yes,15 Years,No,2.3 km,1.57,large,280151
139 sqm,122 sqm,2,2,Yes,Yes,No,No,0.5km,No,15 Years,No,3.7 km,4.04,medium,105912
235 sqm,228 sqm,5,3,Yes,Yes,Yes,Yes,2.7km,Yes,12 Years,No,2.4 km,4.94,medium,208219
694 sqm,660 sqm,8,9,Yes,Yes,Yes,Yes,3.2km,Yes,8 Years,No,3.1 km,3.63,extra_large,552247
223 sqm,208 sqm,4,3,Yes,Yes,Yes,Yes,0.1km,Yes,9 Years,No,3.6 km,2.40,large,223269
322 sqm,313 sqm,5,3,Yes,Yes,Yes,Yes,5.6km,Yes,14 Years,No,4.5 km,3.20,medium,264029
182 sqm,172 sqm,3,4,Yes,No,Yes,No,6.6km,Yes,15 Years,No,3.9 km,1.17,large,149230
304 sqm,265 sqm,6,7,Yes,Yes,Yes,Yes,2.7km,Yes,18 Years,No,2.7 km,1.46,medium,267047
139 sqm,131 sqm,1,1,No,Yes,No,No,0.9km,No,1 Years,No,0.7 km,5.57,small,108227
176 sqm,155 sqm,3,3,No,Yes,Yes,No,2.3km,No,22 Years,No,3.5 km,2.41,large,138858
356 sqm,341 sqm,5,3,Yes,Yes,Yes,Yes,4.2km,Yes,15 Years,No,2.1 km,1.06,medium,287372
167 sqm,146 sqm,2,3,No,Yes,No,Yes,2.5km,No,18 Years,No,0.8 km,1.87,medium,145467
162 sqm,140 sqm,2,1,Yes,No,Yes,No,0.8km,No,9 Years,No,2.8 km,0.95,medium,141758
248 sqm,241 sqm,5,5,Yes,Yes,Yes,Yes,6.5km,Yes,8 Years,No,3.4 km,2.95,large,222735
312 sqm,299 sqm,5,3,Yes,Yes,Yes,No,3.1km,Yes,18 Years,No,3.7 km,1.88,medium,246575
166 sqm,142 sqm,2,1,No,Yes,Yes,No,6.9km,No,3 Years,No,6.6 km,4.13,large,124836
131 sqm,131 sqm,2,3,No,No,Yes,No,4.3km,Yes,16 Years,No,2.8 km,3.37,large,95398
134 sqm,123 sqm,2,2,No,No,No,No,5.9km,No,4 Years,No,6.8 km,3.56,small,77619
420 sqm,393 sqm,6,4,Yes,Yes,Yes,Yes,5.1km,No,16 Years,No,6.1 km,3.56,medium,289996
260 sqm,254 sqm,4,5,Yes,Yes,Yes,Yes,4.9km,Yes,4 Years,No,6.4 km,5.02,medium,214027
221 sqm,221 sqm,3,4,Yes,No,No,No,6.9km,No,16 Years,No,0.9 km,0.82,large,167457
286 sqm,267 sqm,4,2,No,Yes,No,Yes,4.5km,Yes,6 Years,No,4.4 km,2.62,large,241415
475 sqm,389 sqm,8,9,Yes,Yes,Yes,Yes,3.2km,Yes,19 Years,No,1.6 km,2.50,large,400101
239 sqm,235 sqm,4,5,No,Yes,No,Yes,4.9km,Yes,1 Years,No,5.3 km,3.98,extra_large,199110
143 sqm,142 sqm,1,2,No,No,No,No,1.5km,No,10 Years,No,4.4 km,1.04,medium,110697
202 sqm,182 sqm,3,3,Yes,No,No,No,3.6km,No,12 Years,No,0.8 km,4.08,medium,134344
267 sqm,261 sqm,5,3,Yes,Yes,Yes,No,5.2km,Yes,22 Years,No,0.6 km,2.50,large,211455
233 sqm,202 sqm,3,4,Yes,Yes,No,No,5.8km,No,10 Years,No,1.5 km,5.26,large,163408
204 sqm,194 sqm,3,4,Yes,No,Yes,No,6.6km,No,16 Years,No,4.6 km,2.23,large,143950
230 sqm,227 sqm,5,4,Yes,Yes,Yes,Yes,6.9km,Yes,21 Years,No,5.9 km,2.29,large,191800
135 sqm,128 sqm,1,2,No,No,Yes,No,6.7km,No,10 Years,No,5.7 km,0.72,large,96113
191 sqm,188 sqm,4,3,No,No,Yes,Yes,2.5km,No,1 Years,No,2.1 km,1.13,large,165115
338 sqm,289 sqm,5,3,Yes,Yes,Yes,Yes,5.5km,Yes,20 Years,No,6.1 km,2.82,large,283455
215 sqm,184 sqm,3,3,No,Yes,No,Yes,2.2km,Yes,5 Years,No,5.2 km,3.62,large,181348
114 sqm,101 sqm,1,1,Yes,No,Yes,No,4.7km,No,12 Years,No,4.5 km,0.03,medium,91595
225 sqm,198 sqm,3,1,Yes,Yes,No,No,1.1km,No,14 Years,No,3.8 km,0.96,medium,162589
349 sqm,320 sqm,5,2,Yes,Yes,Yes,Yes,2.5km,Yes,20 Years,No,2.5 km,5.19,large,284644
304 sqm,275 sqm,4,2,No,Yes,Yes,No,4.6km,Yes,17 Years,No,1.4 km,0.98,extra_large,243183
157 sqm,146 sqm,2,3,No,Yes,Yes,No,0.8km,No,9 Years,No,0.5 km,3.14,large,140575
349 sqm,333 sqm,5,5,Yes,Yes,Yes,Yes,5.8km,Yes,20 Years,No,0.1 km,0.19,large,295697
127 sqm,111 sqm,2,1,No,Yes,No,Yes,2.3km,No,8 Years,No,6.8 km,1.67,large,117479
284 sqm,276 sqm,5,3,No,Yes,Yes,Yes,0.2km,Yes,1 Years,No,1.2 km,2.38,extra_large,265901
168 sqm,144 sqm,3,3,Yes,Yes,No,Yes,0.6km,No,18 Years,No,3.3 km,5.48,large,136777
249 sqm,244 sqm,4,2,Yes,Yes,Yes,No,2.1km,Yes,14 Years,No,1.7 km,0.24,extra_large,207523
129 sqm,115 sqm,1,1,Yes,Yes,No,Yes,3.1km,No,9 Years,No,6.9 km,1.17,small,108001
556 sqm,462 sqm,8,8,Yes,Yes,Yes,Yes,4.2km,Yes,16 Years,No,3.1 km,2.37,large,456215
109 sqm,106 sqm,1,1,Yes,No,No,No,2.1km,No,17 Years,No,2.7 km,2.28,small,72954
219 sqm,207 sqm,3,4,Yes,Yes,No,No,2.9km,Yes,1 Years,No,6.5 km,0.86,medium,188668
727 sqm,582 sqm,8,6,Yes,Yes,Yes,Yes,1.3km,Yes,22 Years,No,6.9 km,1.47,extra_large,544796
185 sqm,175 sqm,3,2,No,No,No,No,0.2km,No,3 Years,No,1.2 km,5.11,large,143515
223 sqm,194 sqm,3,1,Yes,Yes,Yes,No,5.2km,Yes,10 Years,No,6.8 km,2.95,medium,181123
109 sqm,106 sqm,1,2,No,No,No,No,4.9km,No,7 Years,No,4.3 km,2.70,large,74825
352 sqm,332 sqm,5,2,Yes,Yes,Yes,Yes,2.5km,Yes,6 Years,No,1.5 km,3.41,extra_large,306729
251 sqm,240 sqm,4,3,Yes,Yes,Yes,No,1.3km,Yes,17 Years,No,1.7 km,4.19,large,212986
243 sqm,209 sqm,4,2,Yes,Yes,No,Yes,3.7km,Yes,16 Years,No,4.1 km,3.42,large,204524
237 sqm,214 sqm,5,2,Yes,Yes,Yes,Yes,1.5km,Yes,22 Years,No,5.2 km,3.88,large,214328
229 sqm,205 sqm,3,3,No,Yes,No,No,1.5km,No,5 Years,No,1.6 km,0.11,medium,168871
213 sqm,213 sqm,3,4,Yes,No,Yes,No,3.6km,No,17 Years,No,2.4 km,4.29,medium,129574
186 sqm,165 sqm,2,1,No,Yes,No,No,4.7km,Yes,9 Years,Yes,6.2 km,4.08,small,154330
228 sqm,203 sqm,4,5,Yes,Yes,Yes,Yes,4.8km,Yes,2 Years,No,5.6 km,3.95,extra_large,203551
460 sqm,410 sqm,6,4,Yes,Yes,Yes,Yes,3.4km,Yes,13 Years,No,3.8 km,2.85,medium,381628
261 sqm,227 sqm,4,4,No,Yes,No,Yes,3.6km,No,10 Years,No,6.7 km,1.50,large,205156
194 sqm,168 sqm,3,2,Yes,No,No,Yes,3.7km,No,17 Years,No,4.2 km,5.06,medium,136845
180 sqm,154 sqm,3,4,Yes,No,No,No,2.4km,Yes,21 Years,No,1.3 km,3.12,medium,138425
229 sqm,215 sqm,4,3,Yes,Yes,No,Yes,4.7km,No,15 Years,No,4.5 km,2.51,extra_large,165056
206 sqm,195 sqm,3,1,No,No,Yes,No,4.5km,Yes,13 Years,No,1.5 km,5.58,medium,147900
117 sqm,103 sqm,1,2,No,Yes,No,No,0.7km,No,14 Years,No,5.9 km,3.88,small,86029
136 sqm,134 sqm,1,2,No,No,Yes,No,5.7km,No,3 Years,No,3.8 km,3.53,medium,86536
185 sqm,165 sqm,3,4,Yes,Yes,No,Yes,1.2km,Yes,3 Years,No,1.8 km,3.51,large,181359
210 sqm,187 sqm,3,4,Yes,No,Yes,No,5.2km,No,1 Years,No,1.7 km,2.62,medium,154769
289 sqm,272 sqm,4,4,No,Yes,Yes,Yes,5.4km,Yes,9 Years,No,6.4 km,0.19,large,250807
282 sqm,248 sqm,4,2,Yes,Yes,Yes,Yes,6.9km,Yes,22 Years,No,0.5 km,0.47,large,252996
232 sqm,218 sqm,5,2,Yes,Yes,Yes,Yes,4.8km,Yes,10 Years,No,6.3 km,3.23,large,207751
242 sqm,229 sqm,4,3,Yes,Yes,Yes,Yes,3.6km,Yes,9 Years,No,0.2 km,5.07,large,218376
143 sqm,133 sqm,1,1,Yes,Yes,No,No,5.9km,No,3 Years,No,6.5 km,3.92,medium,101359
258 sqm,234 sqm,5,3,Yes,Yes,Yes,Yes,5.9km,Yes,3 Years,No,0.3 km,0.82,large,251966
245 sqm,218 sqm,4,5,No,Yes,Yes,Yes,1.9km,Yes,3 Years,No,3.1 km,0.03,extra_large,221809
260 sqm,259 sqm,4,2,No,No,Yes,Yes,2.3km,Yes,4 Years,No,0.9 km,1.50,large,235414
280 sqm,258 sqm,4,5,Yes,Yes,Yes,Yes,5.8km,No,13 Years,No,5.4 km,0.17,extra_large,215958
441 sqm,418 sqm,7,7,Yes,Yes,Yes,Yes,4.6km,Yes,9 Years,No,2.5 km,2.38,extra_large,360620
159 sqm,150 sqm,3,3,Yes,Yes,No,No,2.1km,Yes,14 Years,No,6.7 km,0.71,medium,132650
170 sqm,159 sqm,2,2,Yes,Yes,No,No,6.6km,No,14 Years,No,4.2 km,1.62,small,116094
166 sqm,165 sqm,3,2,No,No,Yes,No,2.2km,Yes,9 Years,No,3.7 km,1.15,large,135121
234 sqm,216 sqm,4,5,Yes,Yes,Yes,Yes,0.4km,Yes,9 Years,No,0.2 km,1.30,large,235994
279 sqm,262 sqm,5,3,Yes,Yes,Yes,Yes,1.3km,Yes,4 Years,No,6.7 km,5.55,large,250035
472 sqm,441 sqm,7,5,Yes,Yes,Yes,Yes,3.3km,Yes,18 Years,No,6.7 km,4.40,large,368908
177 sqm,158 sqm,3,3,Yes,Yes,Yes,No,1.9km,Yes,1 Years,No,6.8 km,0.96,medium,167456
299 sqm,299 sqm,4,5,Yes,Yes,Yes,Yes,3.9km,Yes,1 Years,No,5.4 km,5.40,extra_large,249982
273 sqm,238 sqm,4,3,Yes,Yes,No,Yes,4.7km,Yes,18 Years,No,0.2 km,0.22,extra_large,230640
298 sqm,265 sqm,4,5,Yes,Yes,No,Yes,3.2km,Yes,7 Years,No,4.7 km,2.45,large,262747
269 sqm,242 sqm,4,3,Yes,Yes,Yes,Yes,0.9km,Yes,10 Years,No,4.7 km,1.01,extra_large,248675
346 sqm,308 sqm,6,6,Yes,Yes,Yes,Yes,4.3km,Yes,13 Years,No,3.7 km,5.62,medium,286186
179 sqm,167 sqm,3,1,Yes,Yes,No,No,0.2km,No,5 Years,Yes,0.3 km,3.41,medium,171863
175 sqm,172 sqm,3,4,Yes,No,Yes,No,1.4km,No,11 Years,No,4.1 km,2.06,medium,127735
151 sqm,129 sqm,2,2,No,Yes,No,No,0.8km,No,3 Years,No,6.4 km,5.71,small,105893
305 sqm,282 sqm,4,3,Yes,Yes,Yes,Yes,3.8km,No,1 Years,No,0.8 km,0.24,extra_large,243974
264 sqm,253 sqm,4,2,Yes,Yes,Yes,Yes,1.2km,Yes,15 Years,No,0.9 km,3.09,large,241054
209 sqm,184 sqm,4,2,Yes,Yes,Yes,Yes,6.9km,Yes,8 Years,No,2.7 km,4.44,large,186510
264 sqm,225 sqm,5,4,Yes,Yes,Yes,No,4.2km,Yes,6 Years,No,6.7 km,4.80,large,212131
192 sqm,188 sqm,4,4,Yes,Yes,No,No,6.7km,Yes,4 Years,No,4.1 km,3.92,extra_large,142937
218 sqm,190 sqm,4,3,Yes,Yes,Yes,Yes,6.5km,No,20 Years,Yes,1.6 km,2.67,extra_large,194863
328 sqm,289 sqm,5,2,Yes,Yes,Yes,Yes,0.9km,Yes,9 Years,No,0.7 km,0.93,extra_large,297371
360 sqm,360 sqm,5,2,Yes,No,Yes,Yes,1.1km,Yes,18 Years,No,2.6 km,1.69,extra_large,290591
276 sqm,267 sqm,5,4,Yes,Yes,Yes,Yes,0.5km,Yes,4 Years,Yes,1.8 km,0.36,large,303787
418 sqm,381 sqm,7,6,Yes,Yes,Yes,Yes,6.9km,Yes,21 Years,No,2.2 km,5.80,large,337667
303 sqm,291 sqm,4,3,Yes,Yes,Yes,Yes,0.9km,Yes,19 Years,No,5.2 km,4.57,extra_large,250905
126 sqm,122 sqm,2,2,No,No,No,No,4.9km,No,8 Years,No,6.3 km,5.25,medium,77452
204 sqm,203 sqm,3,4,No,No,Yes,No,4.7km,No,20 Years,No,3.5 km,3.11,large,132657
264 sqm,254 sqm,4,2,No,Yes,Yes,No,0.7km,Yes,22 Years,No,5.1 km,1.28,extra_large,207868
376 sqm,350 sqm,6,4,Yes,Yes,Yes,Yes,0.6km,Yes,22 Years,No,1.9 km,4.92,extra_large,303214
166 sqm,144 sqm,2,1,No,No,Yes,No,0.1km,No,21 Years,No,2.4 km,4.41,medium,128443
199 sqm,189 sqm,3,2,Yes,Yes,No,No,5.4km,Yes,8 Years,No,6.6 km,1.26,medium,160488
182 sqm,162 sqm,3,4,No,Yes,No,No,4.2km,Yes,21 Years,No,0.4 km,4.93,medium,138261
304 sqm,273 sqm,5,2,Yes,Yes,Yes,Yes,0.9km,Yes,15 Years,No,0.7 km,2.94,medium,277280
210 sqm,202 sqm,4,2,Yes,Yes,Yes,Yes,5.2km,No,22 Years,No,4.6 km,2.69,extra_large,155156
292 sqm,288 sqm,5,5,Yes,Yes,Yes,Yes,5.4km,Yes,2 Years,Yes,2.4 km,0.74,extra_large,281493
150 sqm,138 sqm,1,1,No,Yes,Yes,No,0.3km,No,10 Years,Yes,6.5 km,4.81,medium,134245
344 sqm,295 sqm,5,4,Yes,Yes,Yes,Yes,4.4km,Yes,19 Years,No,1.4 km,4.07,extra_large,279774
