land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket_km,crime_rate_index,room_size,property_value
694,660,8,9,1,1,1,1,3.2,1,8,0,3.1,3.63,3,552247
223,208,4,3,1,1,1,1,0.1,1,9,0,3.6,2.40,2,223269
322,313,5,3,1,1,1,1,5.6,1,14,0,4.5,3.20,1,264029
182,172,3,4,1,0,1,0,6.6,1,15,0,3.9,1.17,2,149230
304,265,6,7,1,1,1,1,2.7,1,18,0,2.7,1.46,1,267047
139,131,1,1,0,1,0,0,0.9,0,1,0,0.7,5.57,0,108227
176,155,3,3,0,1,1,0,2.3,0,22,0,3.5,2.41,2,138858
356,341,5,3,1,1,1,1,4.2,1,15,0,2.1,1.06,1,287372
167,146,2,3,0,1,0,1,2.5,0,18,0,0.8,1.87,1,145467
162,140,2,1,1,0,1,0,0.8,0,9,0,2.8,0.95,1,141758
248,241,5,5,1,1,1,1,6.5,1,8,0,3.4,2.95,2,222735
312,299,5,3,1,1,1,0,3.1,1,18,0,3.7,1.88,1,246575
166,142,2,1,0,1,1,0,6.9,0,3,0,6.6,4.13,2,124836
131,131,2,3,0,0,1,0,4.3,1,16,0,2.8,3.37,2,95398
134,123,2,2,0,0,0,0,5.9,0,4,0,6.8,3.56,0,77619
420,393,6,4,1,1,1,1,5.1,0,16,0,6.1,3.56,1,289996
260,254,4,5,1,1,1,1,4.9,1,4,0,6.4,5.02,1,214027
221,221,3,4,1,0,0,0,6.9,0,16,0,0.9,0.82,2,167457
286,267,4,2,0,1,0,1,4.5,1,6,0,4.4,2.62,2,241415
475,389,8,9,1,1,1,1,3.2,1,19,0,1.6,2.50,2,400101
239,235,4,5,0,1,0,1,4.9,1,1,0,5.3,3.98,3,199110
143,142,1,2,0,0,0,0,1.5,0,10,0,4.4,1.04,1,110697
202,182,3,3,1,0,0,0,3.6,0,12,0,0.8,4.08,1,134344
267,261,5,3,1,1,1,0,5.2,1,22,0,0.6,2.50,2,211455
233,202,3,4,1,1,0,0,5.8,0,10,0,1.5,5.26,2,163408
204,194,3,4,1,0,1,0,6.6,0,16,0,4.6,2.23,2,143950
230,227,5,4,1,1,1,1,6.9,1,21,0,5.9,2.29,2,191800
135,128,1,2,0,0,1,0,6.7,0,10,0,5.7,0.72,2,96113
191,188,4,3,0,0,1,1,2.5,0,1,0,2.1,1.13,2,165115
338,289,5,3,1,1,1,1,5.5,1,20,0,6.1,2.82,2,283455
215,184,3,3,0,1,0,1,2.2,1,5,0,5.2,3.62,2,181348
114,101,1,1,1,0,1,0,4.7,0,12,0,4.5,0.03,1,91595
225,198,3,1,1,1,0,0,1.1,0,14,0,3.8,0.96,1,162589
349,320,5,2,1,1,1,1,2.5,1,20,0,2.5,5.19,2,284644
304,275,4,2,0,1,1,0,4.6,1,17,0,1.4,0.98,3,243183
157,146,2,3,0,1,1,0,0.8,0,9,0,0.5,3.14,2,140575
349,333,5,5,1,1,1,1,5.8,1,20,0,0.1,0.19,2,295697
127,111,2,1,0,1,0,1,2.3,0,8,0,6.8,1.67,2,117479
284,276,5,3,0,1,1,1,0.2,1,1,0,1.2,2.38,3,265901
168,144,3,3,1,1,0,1,0.6,0,18,0,3.3,5.48,2,136777
249,244,4,2,1,1,1,0,2.1,1,14,0,1.7,0.24,3,207523
129,115,1,1,1,1,0,1,3.1,0,9,0,6.9,1.17,0,108001
556,462,8,8,1,1,1,1,4.2,1,16,0,3.1,2.37,2,456215
109,106,1,1,1,0,0,0,2.1,0,17,0,2.7,2.28,0,72954
219,207,3,4,1,1,0,0,2.9,1,1,0,6.5,0.86,1,188668
727,582,8,6,1,1,1,1,1.3,1,22,0,6.9,1.47,3,544796
185,175,3,2,0,0,0,0,0.2,0,3,0,1.2,5.11,2,143515
223,194,3,1,1,1,1,0,5.2,1,10,0,6.8,2.95,1,181123
109,106,1,2,0,0,0,0,4.9,0,7,0,4.3,2.70,2,74825
352,332,5,2,1,1,1,1,2.5,1,6,0,1.5,3.41,3,306729
251,240,4,3,1,1,1,0,1.3,1,17,0,1.7,4.19,2,212986
243,209,4,2,1,1,0,1,3.7,1,16,0,4.1,3.42,2,204524
237,214,5,2,1,1,1,1,1.5,1,22,0,5.2,3.88,2,214328
229,205,3,3,0,1,0,0,1.5,0,5,0,1.6,0.11,1,168871
213,213,3,4,1,0,1,0,3.6,0,17,0,2.4,4.29,1,129574
186,165,2,1,0,1,0,0,4.7,1,9,1,6.2,4.08,0,154330
228,203,4,5,1,1,1,1,4.8,1,2,0,5.6,3.95,3,203551
460,410,6,4,1,1,1,1,3.4,1,13,0,3.8,2.85,1,381628
261,227,4,4,0,1,0,1,3.6,0,10,0,6.7,1.50,2,205156
194,168,3,2,1,0,0,1,3.7,0,17,0,4.2,5.06,1,136845
180,154,3,4,1,0,0,0,2.4,1,21,0,1.3,3.12,1,138425
229,215,4,3,1,1,0,1,4.7,0,15,0,4.5,2.51,3,165056
206,195,3,1,0,0,1,0,4.5,1,13,0,1.5,5.58,1,147900
117,103,1,2,0,1,0,0,0.7,0,14,0,5.9,3.88,0,86029
136,134,1,2,0,0,1,0,5.7,0,3,0,3.8,3.53,1,86536
185,165,3,4,1,1,0,1,1.2,1,3,0,1.8,3.51,2,181359
210,187,3,4,1,0,1,0,5.2,0,1,0,1.7,2.62,1,154769
289,272,4,4,0,1,1,1,5.4,1,9,0,6.4,0.19,2,250807
282,248,4,2,1,1,1,1,6.9,1,22,0,0.5,0.47,2,252996
232,218,5,2,1,1,1,1,4.8,1,10,0,6.3,3.23,2,207751
242,229,4,3,1,1,1,1,3.6,1,9,0,0.2,5.07,2,218376
143,133,1,1,1,1,0,0,5.9,0,3,0,6.5,3.92,1,101359
258,234,5,3,1,1,1,1,5.9,1,3,0,0.3,0.82,2,251966
245,218,4,5,0,1,1,1,1.9,1,3,0,3.1,0.03,3,221809
260,259,4,2,0,0,1,1,2.3,1,4,0,0.9,1.50,2,235414
280,258,4,5,1,1,1,1,5.8,0,13,0,5.4,0.17,3,215958
441,418,7,7,1,1,1,1,4.6,1,9,0,2.5,2.38,3,360620
159,150,3,3,1,1,0,0,2.1,1,14,0,6.7,0.71,1,132650
170,159,2,2,1,1,0,0,6.6,0,14,0,4.2,1.62,0,116094
166,165,3,2,0,0,1,0,2.2,1,9,0,3.7,1.15,2,135121
234,216,4,5,1,1,1,1,0.4,1,9,0,0.2,1.30,2,235994
279,262,5,3,1,1,1,1,1.3,1,4,0,6.7,5.55,2,250035
472,441,7,5,1,1,1,1,3.3,1,18,0,6.7,4.40,2,368908
177,158,3,3,1,1,1,0,1.9,1,1,0,6.8,0.96,1,167456
299,299,4,5,1,1,1,1,3.9,1,1,0,5.4,5.40,3,249982
273,238,4,3,1,1,0,1,4.7,1,18,0,0.2,0.22,3,230640
298,265,4,5,1,1,0,1,3.2,1,7,0,4.7,2.45,2,262747
269,242,4,3,1,1,1,1,0.9,1,10,0,4.7,1.01,3,248675
346,308,6,6,1,1,1,1,4.3,1,13,0,3.7,5.62,1,286186
179,167,3,1,1,1,0,0,0.2,0,5,1,0.3,3.41,1,171863
175,172,3,4,1,0,1,0,1.4,0,11,0,4.1,2.06,1,127735
151,129,2,2,0,1,0,0,0.8,0,3,0,6.4,5.71,0,105893
305,282,4,3,1,1,1,1,3.8,0,1,0,0.8,0.24,3,243974
264,253,4,2,1,1,1,1,1.2,1,15,0,0.9,3.09,2,241054
209,184,4,2,1,1,1,1,6.9,1,8,0,2.7,4.44,2,186510
264,225,5,4,1,1,1,0,4.2,1,6,0,6.7,4.80,2,212131
192,188,4,4,1,1,0,0,6.7,1,4,0,4.1,3.92,3,142937
218,190,4,3,1,1,1,1,6.5,0,20,1,1.6,2.67,3,194863
328,289,5,2,1,1,1,1,0.9,1,9,0,0.7,0.93,3,297371
360,360,5,2,1,0,1,1,1.1,1,18,0,2.6,1.69,3,290591
276,267,5,4,1,1,1,1,0.5,1,4,1,1.8,0.36,2,303787
418,381,7,6,1,1,1,1,6.9,1,21,0,2.2,5.80,2,337667
303,291,4,3,1,1,1,1,0.9,1,19,0,5.2,4.57,3,250905
126,122,2,2,0,0,0,0,4.9,0,8,0,6.3,5.25,1,77452
204,203,3,4,0,0,1,0,4.7,0,20,0,3.5,3.11,2,132657
264,254,4,2,0,1,1,0,0.7,1,22,0,5.1,1.28,3,207868
376,350,6,4,1,1,1,1,0.6,1,22,0,1.9,4.92,3,303214
166,144,2,1,0,0,1,0,0.1,0,21,0,2.4,4.41,1,128443
199,189,3,2,1,1,0,0,5.4,1,8,0,6.6,1.26,1,160488
182,162,3,4,0,1,0,0,4.2,1,21,0,0.4,4.93,1,138261
304,273,5,2,1,1,1,1,0.9,1,15,0,0.7,2.94,1,277280
210,202,4,2,1,1,1,1,5.2,0,22,0,4.6,2.69,3,155156
292,288,5,5,1,1,1,1,5.4,1,2,1,2.4,0.74,3,281493
150,138,1,1,0,1,1,0,0.3,0,10,1,6.5,4.81,1,134245
344,295,5,4,1,1,1,1,4.4,1,19,0,1.4,4.07,3,279774
243,238,4,5,1,0,1,1,3.9,0,19,0,6.5,3.36,3,171746
256,239,4,4,0,1,1,0,0.6,1,18,0,3.8,5.43,2,204618
124,109,2,3,0,1,0,0,6.8,0,15,0,6.6,3.67,2,79158
253,234,4,4,1,1,0,1,3.8,1,11,0,6.4,5.09,2,210848
276,276,4,2,1,1,1,0,4.5,1,16,0,1.8,4.38,2,218119
275,263,5,5,1,1,1,1,4.7,1,11,0,1.4,4.94,3,228265
121,113,1,2,0,1,0,0,6.5,0,1,0,3.3,0.50,0,92670
207,187,3,3,1,1,1,0,6.1,1,12,0,5.2,4.84,1,162174
326,288,5,5,1,1,1,1,2.8,1,9,0,0.3,0.95,3,297141
431,387,7,8,1,1,1,1,0.2,1,20,0,0.6,2.85,2,378182
112,104,1,1,1,0,0,0,6.4,0,7,0,4.5,1.92,0,69492
272,254,5,3,1,1,1,1,3.9,1,8,0,5.4,4.10,2,238963
235,217,5,3,1,1,1,1,5.3,1,10,0,1.6,0.69,1,218468
308,296,4,4,1,1,1,1,5.5,1,19,0,3.1,5.38,3,244402
139,135,2,2,1,0,0,0,4.9,0,1,0,5.8,4.46,2,86294
319,290,5,4,1,1,1,0,5.3,0,12,0,5.1,2.55,1,228836
333,291,5,5,0,1,1,1,6.5,1,14,0,0.3,4.09,3,271829
181,177,2,2,0,0,0,0,5.7,0,16,0,1.5,0.45,1,126911
212,182,4,4,1,1,1,0,0.5,1,19,0,3.4,5.54,2,172691
181,168,3,3,1,0,0,0,3.2,1,21,0,6.1,1.78,1,134748
104,104,1,1,0,0,0,1,2.5,0,7,0,0.2,1.59,0,95378
243,228,4,3,1,1,1,1,1.1,1,20,0,1.9,2.65,3,213459
142,127,1,2,1,0,0,0,2.6,0,19,0,3.4,0.21,2,102963
255,225,4,5,1,1,1,0,5.4,1,6,0,4.2,0.98,3,210736
203,188,3,4,0,1,0,1,2.9,0,10,0,2.5,5.03,2,156460
291,248,5,5,1,1,1,1,3.9,1,2,0,0.8,0.29,3,272203
108,102,1,2,0,1,0,0,5.2,0,22,0,3.9,1.70,0,74438
155,149,2,3,0,0,0,0,5.8,1,9,0,0.4,4.47,0,113225
191,174,3,2,0,0,1,0,2.1,0,12,0,1.3,1.08,2,147564
541,461,7,5,1,1,1,1,6.6,1,17,0,3.2,4.70,2,432366
183,163,3,4,0,0,1,0,1.3,1,5,0,3.7,5.86,2,147891
516,488,7,4,1,1,1,1,3.6,0,9,0,3.7,2.47,3,377496
212,203,3,4,0,1,0,1,1.8,0,13,0,4.3,1.92,1,174726
197,181,4,4,0,1,1,1,0.5,1,17,0,2.5,2.45,2,183821
213,201,3,1,0,0,0,1,4.4,1,7,0,0.6,5.07,2,173804
418,413,6,7,1,1,1,1,2.6,1,18,0,5.8,4.24,1,340831
287,270,5,5,1,1,1,1,4.3,1,20,0,2.5,0.73,2,254180
383,345,6,6,1,1,1,1,0.5,1,9,0,1.3,3.54,3,325202
128,128,2,2,0,0,1,0,4.9,0,21,0,6.7,0.84,0,83743
279,270,5,2,1,1,1,1,5.9,1,10,0,5.3,4.98,2,236011
250,216,4,4,1,1,1,1,2.1,1,6,0,6.4,1.42,3,224755
257,236,4,3,1,1,1,1,5.5,1,4,0,4.3,3.38,2,219882
256,233,4,2,1,1,1,1,3.3,1,22,0,4.9,3.63,2,221308
271,243,5,2,1,1,1,1,2.2,1,8,0,0.3,1.57,1,255634
224,220,3,1,0,0,0,0,1.3,1,7,0,5.5,1.15,1,174217
313,298,5,4,1,1,1,1,3.7,1,5,0,4.8,4.72,1,259637
290,268,4,5,1,1,1,1,6.2,1,7,0,2.8,2.92,3,248093
238,205,3,4,1,1,0,0,1.9,1,14,0,5.8,0.20,2,193914
311,304,5,5,1,1,1,1,5.9,1,18,0,6.8,0.24,1,251227
284,253,4,3,1,1,0,1,5.4,1,11,0,5.9,2.69,2,243293
617,607,8,7,1,1,1,1,0.4,1,12,0,2.5,5.14,2,530338
159,159,3,4,1,0,1,0,0.3,1,4,0,6.3,4.34,1,134161
219,210,3,4,1,1,1,0,3.5,0,4,0,3.8,4.72,2,171488
123,115,1,2,0,0,0,0,6.1,0,13,0,4.4,4.21,0,67293
264,226,5,2,1,1,1,1,5.1,0,21,0,6.1,2.87,2,198375
359,313,5,5,1,1,1,1,1.7,1,11,0,1.1,3.28,1,311011
244,236,5,4,1,1,1,1,1.3,1,17,0,0.4,2.32,1,224821
214,182,4,3,1,1,1,1,6.2,1,7,0,5.6,5.68,3,183656
227,203,4,2,1,1,1,1,6.6,0,12,0,6.3,0.14,3,186912
157,153,3,4,1,0,0,0,0.5,0,12,0,1.8,0.64,2,133107
257,237,4,4,1,1,1,1,1.3,1,16,0,1.9,2.97,3,229497
306,283,5,5,1,1,1,1,3.7,1,15,0,5.5,1.60,2,265154
279,256,4,4,1,1,1,1,2.1,1,13,0,4.8,1.85,3,241959
302,266,5,5,1,1,1,1,1.4,0,4,0,0.7,4.06,3,242277
282,275,5,2,1,1,0,1,2.4,1,21,0,2.4,3.77,1,233084
243,230,5,2,1,1,1,1,0.7,1,13,0,4.4,5.96,1,217156
138,131,1,1,0,1,0,0,0.4,0,8,0,1.5,1.26,0,120335
226,203,4,5,1,1,1,0,1.9,1,6,0,2.6,3.07,3,193042
147,131,1,2,0,0,0,0,0.7,0,11,0,1.2,5.52,0,96218
117,113,1,1,0,0,0,0,1.7,0,22,0,0.8,2.12,2,85233
170,157,3,2,1,1,0,1,6.6,0,9,0,2.2,0.30,2,145201
347,331,5,5,1,1,0,1,4.6,1,1,0,1.8,4.67,3,287957
240,212,4,2,1,1,1,1,6.6,1,14,0,2.1,5.31,3,200309
299,279,5,4,1,1,1,1,0.7,1,20,0,2.6,1.11,1,257855
308,291,5,2,1,1,1,1,3.3,1,8,0,4.3,3.60,3,260200
227,219,3,3,1,1,1,0,4.4,1,18,0,1.1,4.57,2,177185
209,209,3,3,0,0,0,0,2.4,1,16,0,3.4,5.52,1,150125
141,127,2,3,1,0,0,1,4.2,0,22,0,3.4,0.60,1,110964
238,223,3,2,0,1,0,0,2.8,1,4,0,4.2,3.70,1,190143
166,147,3,3,1,1,1,0,0.1,1,3,1,3.2,0.43,1,188154
147,127,1,2,1,1,0,1,4.9,0,3,0,5.6,5.23,0,110828
318,275,5,2,0,1,1,0,5.1,1,13,0,1.7,5.34,3,235425
235,203,3,3,0,1,0,0,4.5,1,8,0,0.3,1.95,1,194607
307,263,5,3,1,1,1,0,6.9,1,16,0,6.5,2.56,2,240162
140,139,1,2,0,0,0,0,1.4,0,19,0,0.8,4.03,0,97545
126,112,1,2,0,1,0,0,0.7,0,6,0,0.6,3.37,2,111156
167,160,2,2,0,1,0,0,3.7,1,22,1,3.3,3.04,0,141026
269,256,4,5,1,1,1,0,4.6,1,15,0,2.9,4.35,3,205252
235,227,4,5,1,1,0,1,6.3,1,10,0,2.1,5.70,2,200810
130,112,1,2,1,0,0,0,5.6,0,10,0,1.9,5.60,2,73721
464,428,8,6,1,1,1,1,1.7,1,21,0,5.7,1.75,2,392746
277,247,4,5,1,1,0,1,2.8,0,17,0,2.7,1.11,3,207798
265,262,4,4,1,1,0,0,6.8,1,3,0,3.5,3.87,3,202572
324,306,5,2,1,1,1,1,2.1,1,5,0,3.5,5.50,1,264697
237,226,4,4,0,1,1,1,0.9,1,21,0,1.2,2.34,3,211509
209,198,4,2,1,1,1,1,3.3,0,3,0,0.4,5.50,3,171651
284,265,5,2,1,1,1,1,2.9,1,8,0,0.4,2.21,3,252602
269,243,4,2,0,1,1,1,3.9,0,13,0,0.3,0.50,3,223458
130,120,2,1,1,1,0,0,0.8,0,2,0,5.5,5.97,1,99041
127,125,1,1,1,0,0,0,5.3,0,21,0,1.1,2.42,0,76940
195,183,3,3,0,1,0,0,3.3,1,14,0,6.1,1.36,2,155293
244,225,5,3,1,1,1,1,4.4,1,6,0,1.8,4.25,3,216423
240,239,4,3,1,0,1,1,0.5,1,7,0,6.3,2.77,3,204696
274,248,5,4,1,1,1,1,5.1,0,12,0,4.8,3.65,1,210481
454,412,6,6,1,1,1,1,1.5,1,13,0,1.6,0.18,3,374503
248,227,4,2,0,1,1,0,2.8,1,22,0,2.6,3.71,3,191440
171,171,3,4,0,0,0,1,2.5,1,20,0,2.3,3.36,2,144256
279,271,5,5,1,1,1,1,3.3,1,13,1,2.8,3.66,1,270125
130,113,1,2,1,1,0,1,4.6,0,20,0,5.2,4.38,1,95870
178,156,2,1,0,1,1,0,5.1,0,15,0,2.3,1.51,1,135966
196,188,4,5,1,1,1,1,2.5,0,7,0,6.3,4.05,2,164687
285,279,4,5,1,1,1,1,0.1,1,10,0,5.6,2.40,2,269106
125,118,2,1,0,1,0,0,4.4,0,1,0,2.9,2.32,0,93430
184,180,3,4,1,0,0,1,5.9,0,18,0,6.8,3.41,2,134254
264,242,4,5,1,1,1,0,2.3,1,9,1,0.8,1.11,3,263002
199,183,4,5,1,1,1,1,1.2,1,17,0,2.1,4.39,3,177902
151,151,3,4,1,0,0,0,0.4,1,8,0,0.2,5.97,2,136013
310,294,4,2,1,1,1,1,0.8,1,16,0,5.9,2.95,3,259814
255,250,5,5,1,1,0,1,6.7,1,12,0,4.2,0.71,3,214934
162,152,2,1,0,1,0,0,4.5,0,18,0,6.7,2.41,1,104462
160,141,3,4,1,1,0,1,5.4,1,1,0,0.5,0.54,2,163675
196,183,3,3,0,1,0,0,2.4,0,21,0,1.8,1.46,2,143390
222,195,3,2,1,1,0,1,0.7,0,15,0,1.3,3.56,2,182533
384,364,6,6,1,1,1,1,6.2,0,9,0,0.4,4.10,2,294804
478,475,7,6,1,1,1,1,3.1,1,20,0,4.3,4.56,2,381565
332,287,5,4,1,1,1,1,0.8,1,3,0,5.1,0.13,3,302205
191,182,4,3,0,1,1,0,4.7,0,4,0,0.3,1.56,3,141317
330,286,6,7,1,1,1,1,6.7,1,11,0,6.1,5.13,2,271701
246,245,5,5,1,0,1,1,0.3,1,7,0,5.9,4.72,1,219134
112,105,1,1,1,0,1,0,6.9,1,5,0,2.9,4.23,2,85401
309,309,4,2,1,0,1,1,4.5,1,3,0,5.7,5.68,2,262053
151,151,2,1,0,0,0,1,0.7,0,11,0,3.7,0.32,1,137281
288,280,4,4,1,1,1,1,2.1,0,6,0,3.9,4.84,2,223190
275,238,5,2,1,1,1,1,5.8,0,20,0,2.1,5.93,2,207272
329,312,5,5,1,1,1,1,2.2,1,17,0,3.6,0.98,1,278275
125,112,2,3,0,1,1,0,4.9,1,2,0,5.4,0.45,1,116903
319,280,5,3,1,1,1,0,4.3,1,13,0,2.3,3.99,2,250610
436,386,6,4,1,1,1,1,5.9,1,17,1,0.9,3.46,1,408151
451,448,6,6,1,1,1,1,4.3,1,10,0,0.2,0.20,1,377963
341,306,6,4,1,1,1,1,0.3,1,1,0,6.5,1.27,2,316906
254,249,5,3,1,1,1,1,3.2,1,17,0,5.3,2.83,2,220707
330,310,5,3,1,1,1,1,1.2,1,16,0,1.4,4.23,2,293065
514,497,7,6,1,1,1,1,1.5,1,17,0,0.1,2.17,3,410453
217,212,3,1,0,0,0,1,2.5,0,11,0,4.8,2.94,1,159474
227,196,4,2,0,1,1,1,3.3,1,12,0,0.7,1.93,3,201468
359,325,5,2,1,1,1,0,5.3,1,13,0,2.5,0.06,2,292164
271,238,4,3,1,1,1,1,5.3,0,8,0,0.7,4.25,3,213943
129,123,1,2,1,0,0,0,4.6,0,19,0,6.7,4.54,1,76497
205,185,3,1,1,0,0,1,3.4,1,19,0,1.7,1.19,2,182300
164,148,3,4,0,0,0,0,3.4,0,21,0,1.2,0.82,1,114031
211,194,4,4,1,1,1,1,0.9,0,5,0,3.2,2.01,2,199066
237,219,3,2,1,1,0,1,5.3,0,13,0,4.8,0.70,2,181745
214,207,3,3,1,1,0,1,4.1,0,4,0,2.4,5.64,2,166525
290,264,4,4,1,1,1,0,4.9,1,7,0,0.7,5.29,3,222395
475,416,7,5,1,1,1,1,2.8,1,18,0,4.8,0.39,2,404497
186,169,3,4,1,1,0,0,3.1,1,20,0,6.2,1.76,1,145613
173,161,2,1,0,1,0,0,0.3,1,12,0,6.4,2.83,0,143296
219,208,4,3,1,1,1,1,4.5,1,1,0,2.5,0.51,2,205677
269,240,5,2,1,1,1,0,5.1,1,11,0,6.3,4.24,3,205457
138,131,1,1,0,1,0,0,5.2,0,19,0,1.3,1.06,2,102642
287,282,4,4,1,1,1,1,4.3,1,10,0,3.4,3.35,3,231982
148,130,2,3,0,1,0,0,3.9,0,20,0,4.5,4.29,1,97321
266,240,4,2,1,1,0,1,6.3,1,3,0,3.3,2.01,3,223148
233,214,5,4,1,1,1,1,3.6,1,14,1,3.6,1.60,2,249523
150,129,1,1,0,0,0,1,3.3,1,20,0,1.7,0.12,1,131884
234,222,3,1,0,0,1,0,1.5,1,12,0,6.7,3.16,1,175040
296,255,4,3,1,1,1,1,4.5,0,21,0,0.6,3.32,3,227810
408,371,7,6,1,1,1,1,6.3,1,2,0,0.4,3.47,2,344521
284,246,4,3,1,1,1,1,6.4,1,11,0,6.4,4.93,2,235753
103,101,1,1,0,0,0,0,1.7,0,20,0,5.9,3.37,1,65540
227,226,4,3,1,1,1,1,1.8,1,5,0,5.1,1.94,2,212181
787,689,8,5,1,1,1,1,0.9,1,4,0,4.9,2.46,2,664664
131,120,2,3,1,1,0,0,3.1,1,17,0,3.3,4.22,1,94041
292,262,5,4,1,1,1,1,2.5,1,5,1,6.1,0.45,1,295119
239,207,5,4,1,1,1,1,3.3,1,22,0,5.8,5.14,3,204098
202,196,4,2,1,1,0,1,5.3,1,8,0,1.4,0.56,3,182564
303,263,5,2,1,1,1,1,6.8,1,10,0,6.2,0.73,3,265710
307,293,6,7,0,1,1,1,1.1,0,18,0,0.6,0.98,2,250642
359,317,5,5,1,1,1,1,4.2,1,12,0,3.7,4.10,2,311917
160,147,3,4,1,0,0,0,2.7,1,7,0,3.5,5.79,1,116061
358,316,5,4,1,1,0,1,2.8,1,14,0,1.6,0.41,1,299574
407,396,6,7,1,1,1,1,6.8,1,20,0,3.7,0.61,2,325621
148,131,2,3,0,0,0,1,4.3,1,15,0,6.5,1.87,0,121043
773,760,8,9,1,1,1,1,3.5,1,16,0,6.5,4.08,3,576789
231,224,3,4,0,1,0,0,3.1,0,5,1,1.6,1.33,1,202344
205,202,4,4,1,1,1,0,2.7,0,13,0,1.6,1.72,2,161000
451,417,7,6,1,1,1,1,2.3,1,3,0,0.7,0.18,3,389283
427,397,6,6,1,1,1,1,5.4,1,8,0,0.7,2.10,3,354297
330,312,5,5,1,1,1,1,2.5,0,3,0,3.8,3.22,3,258187
220,192,4,2,1,1,1,1,2.1,0,3,0,2.1,5.11,2,184420
306,269,4,4,1,1,1,1,6.8,0,7,0,1.8,1.99,3,236124
585,584,7,5,1,1,1,1,5.7,1,5,0,5.2,2.18,3,466085
106,96,1,2,1,1,0,0,5.8,0,8,0,3.5,3.14,2,82517
413,394,7,6,1,1,1,1,1.5,1,16,0,0.8,3.75,3,329782
163,141,2,2,1,1,1,0,6.6,0,15,0,6.2,1.55,1,119487
185,158,3,1,0,1,0,1,3.1,1,15,0,3.9,2.49,1,160156
209,198,3,4,0,1,0,1,1.9,1,3,0,4.4,3.96,1,175937
465,429,7,8,1,1,1,1,6.7,1,21,1,6.4,3.13,2,426715
302,299,4,5,1,1,0,1,0.8,0,9,0,3.4,0.18,2,259604
200,196,3,4,0,0,0,0,3.5,0,1,0,3.1,3.79,1,133156
248,231,4,2,0,1,1,1,3.8,1,22,0,2.5,0.51,2,217731
159,141,3,4,1,0,0,0,1.9,1,10,0,4.1,5.42,1,113065
314,306,5,4,1,1,1,1,1.3,0,22,0,1.3,3.57,3,243494
243,207,5,3,1,1,1,0,1.6,1,15,1,6.2,1.49,1,238703
344,328,5,5,1,1,1,1,5.2,1,7,0,2.5,1.52,2,296117
222,208,4,3,1,1,0,1,5.1,1,17,0,6.1,0.65,2,192713
308,292,4,5,1,1,1,1,1.7,0,6,0,6.4,5.87,3,225370
322,289,6,4,1,1,1,1,1.8,1,7,0,3.9,1.98,3,278536
506,459,7,7,1,1,1,1,3.5,1,8,0,1.5,2.23,3,415232
297,262,4,2,0,1,1,1,3.7,1,16,0,3.1,2.59,2,256089
289,251,4,2,0,1,1,1,1.8,1,16,0,3.6,5.40,3,230416
132,116,1,1,1,1,0,0,4.5,0,4,0,5.8,2.43,0,95292
296,290,4,4,1,1,1,1,5.6,1,3,0,3.8,2.82,2,263413
103,98,1,1,0,0,0,0,6.1,0,16,0,2.4,0.45,2,71009
254,235,4,4,1,1,1,1,4.7,1,2,0,2.7,5.86,3,220118
179,154,3,1,1,1,0,0,1.1,0,13,0,6.2,3.11,2,136777
353,344,5,5,1,1,1,1,4.8,1,9,0,6.3,3.16,2,295900
159,146,2,2,0,0,1,0,1.6,0,6,0,4.1,1.01,0,125241
227,225,3,1,0,0,0,0,2.5,1,8,0,3.5,3.59,2,165546
221,214,4,4,0,1,1,1,3.9,1,16,0,0.1,5.10,3,187609
164,142,3,4,1,1,1,0,0.1,0,10,0,0.1,5.59,1,147135
164,160,3,2,0,0,0,1,5.1,0,12,0,3.3,2.66,2,123829
275,264,4,2,1,1,1,1,3.6,0,7,0,5.7,2.16,3,213367
348,330,5,4,1,1,1,1,4.8,0,13,0,2.7,2.35,2,265087
157,150,3,4,1,1,0,1,5.1,0,11,0,6.2,5.15,2,115343
195,187,4,3,1,1,1,1,4.7,1,18,1,3.4,0.43,2,203959
167,161,2,2,1,1,0,0,0.7,1,7,0,1.7,4.31,0,143487
199,174,4,3,1,1,1,1,4.7,1,4,0,5.6,2.35,2,194831
199,187,3,2,0,0,1,0,6.7,1,5,0,0.5,2.38,2,157859
106,95,1,1,1,1,1,0,5.2,0,20,0,1.1,5.88,0,73820
253,231,5,4,1,1,1,0,2.7,1,5,1,6.5,0.07,2,253303
472,434,7,7,1,1,1,1,4.3,1,13,1,3.4,4.29,2,432513
199,174,4,5,1,1,1,1,4.5,0,22,0,3.3,4.59,2,152643
335,306,5,5,1,1,1,1,5.3,1,7,0,1.7,1.12,3,285373
149,130,1,1,0,0,0,0,5.9,0,19,0,2.7,2.75,2,91116
141,131,1,2,1,1,0,0,1.7,0,5,0,6.5,4.04,1,107374
190,186,3,3,0,0,0,0,4.7,0,12,1,1.9,2.09,1,152465
125,115,1,2,1,0,1,0,0.7,0,22,0,2.6,4.08,0,96967
164,142,2,1,0,1,0,1,0.3,1,4,0,5.4,1.97,1,159862
433,387,6,4,1,1,1,1,5.4,1,19,0,3.5,5.63,2,335933
408,369,6,4,1,1,1,1,4.2,1,11,0,6.1,1.68,2,349847
